Failure Analysis Date,"Start Date
00:00:00","End Date
00:00:00",Analyzed by,SPOC Single Point of Contact,FWU Error Code,Server Serial No,From Bundle Version,Target Bundle Version,iLO version,Server Model,iSUT version,COM4VC version,"Upgrade type sequence (BMC, SUT, UEFI, Reset, Wait)","Failed Component details(Filename -> Component name -> From version -> To version)",Analysis details,Update Type,"Customer retry suceeded",Defect ID,Next action item,Product,Sub category,Broad Category (FWE-102),Region,Customer Name/Application Customer ID/Workspace ID
10/1/2025,10/1/2025,10/2/2025,Ambika,,FWE-102,P52499-B21+3M1D281328,,2025.07.00.00,1.70 Aug 11 2025,ProLiant DL360 Gen11,5.3.0.0,No,"SUT, BMC",,"e99206b7-01af-4258-8842-3f21838094e3

Component failing to update  is ""Intel Firmware Package For E810-XXVDA2 Ethernet 10/25Gb 2-port""

From 4.10 to 4.71.
Known issue - CCSE-88758 

3/10: Check if the upgrade happened before the fix reached production.

7/10: Raise a new defect on Olive (ccse-99234)",Online,No,"CCSE-88758 
CCSE-99234",,,,,ccprodusw2,"FIRSTCASH
	
b1ea2a58f08611ef9a18f619ed24ef7f"
10/1/2025,10/1/2025,10/2/2025,Ambika,,FWE-102,P52499-B21+3M1D281329,,2025.07.00.00,1.70 Aug 11 2025,ProLiant DL360 Gen11,5.3.0.0,No,"SUT, BMC",,"a2107b93-7e7e-4253-8258-6c4da353ce35
Same as #2902",Online,No,"CCSE-88758 
CCSE-99234",,,,,ccprodusw2,"FIRSTCASH
	
b1ea2a58f08611ef9a18f619ed24ef7f"
10/1/2025,9/30/2025,10/1/2025,Karunakar,,FWE-110,P52499-B21+CZUD2M00QD,,2025.07.00.00,,,,No,,,"92dd6af2-f08c-4472-aa47-01a8c4e85fc1
Error:: JobErrorException : Unexpected response received after all retries 
2025-09-30 14:20:02

GetFirmwareInventory beginning retry 9/10

Post Firmware update
No AHS

[Step ConnectivityTestProcessResponse]:1305 Connectivity test completed for server

connected_at:2025-09-29T16:54:24.728335 disconnected_at:2025-09-30T13:39:52

connected_at:2025-09-30T13:40:23.457236 disconnected_at:2025-09-30T14:35:51

job started at 2025-09-30 13:14:52 and failed at 2025-09-30 14:20:02

Need to request for AHS

3/10: Get AHS.
Was iLO part of server.  
Check why the response is not coming, given that iLO is connected.  Or the request itself failed.
Karunakar: I have asked Ambika help 

<Ambika> : iLO is not part of the  sequence.


FWinventory query was made only at ""2025-09-30 14:10:01.445""  - during this time server was in connected state only . 

Zinc is sending the request to server, but there is no response received. 

No AHS log available for this failure, will collect AHS logs to understand whether the iLO received the request or not.

Caseid: 5392745026/5392744912",Online,No retry,,,,,,ccprodeuc1,8509b0b2348311f09e566e1338a48a10
10/1/2025,9/30/2025,10/1/2025,Sowmya,,FWI-109,P52534-B21+CZ24290BNG,,54cdea84c1704d9ebe42db8c210e4d04,iLO6 1.70 Aug 11 2025,ProLiant DL380 Gen11,5.0.0,,,,"f4f578cd-701e-4a78-b307-65bc366d1f2f

Humio logs,
Exception occurred while executing FirmwareUpdate.New job: f4f578cd-701e-4a78-b307-65bc366d1f2f for resource P52534-B21+CZ24290BNG/compute-ops-mgmt/server. StateChangeReason: {'message_id': 'FWI-109'} Error:: JobErrorException : Timeout reached or user cancelled the job request ",Online,No retry,,,,,,ccprodeuc1,201383c85bf611f0a3fbca4e7da041ca
10/1/2025,9/30/2025,10/1/2025,Karunakar,,FWE-171,P52534-B21+CZ24320FTG,,2025.07.00.00,,,,No,,,"5b1387f0-dc5b-48dd-b23b-2f17112be1ef
Error:: JobErrorException : Timeout reached or user cancelled the job request 
2025-09-30 11:47:29

FirmwareUpdateRevertPostMode step number: 27

Moving to next job step. Reason : Timeout reached

'wait_for_power_off_or_reboot': True, 'wait_for_power_off_or_reboot_timeout': 4",,No retry,,,,,,ccprodeuc1,201383c85bf611f0a3fbca4e7da041ca
10/1/2025,9/30/2025,10/1/2025,Karunakar,,FWE-102,P52534-B21+CZ2D1Z078Y,,SPP 2025.07.00.00 (08 Aug 2025),iLO 6 v1.70p26 ,ProLiant Dl380 Gen11,5.2.0,No,BMC,"HPE Firmware Flash for Emulex 32Gb and 64Gb Fibre Channel Host

'Version': '14.2.589.19' to '14.4.473.14'


Broadcom Firmware Package for BCM5741x adapters
'Version': '228.1.111.0' to '233.1.135.7'

Universal Firmware Package for Drives -  VK000960KYDPT, VK00192
'Version': 'HPK3' to 'HPK4'


Firmware Package - HPE MR416i-o Gen11 Tri Mode Controller
'Version': '52.26.3-5379' to '52.32.3-6118'","a14a0af9-6e81-4d74-8809-d0e9a172a68e
Firmware update failed for 4/13 components
2025-09-30 16:51:04
VMware ESXi 8.0.3

As per bundle report, all components went in to exception in the first attempt and MR component went in to exception in the second attempt
3 components were not listed in the second attempt 

All components reason: 
09/30/2025 15:09:18,120662: Firmware update failed   with reason: Update Failed due to an internal error

3/10: Check the inventory in the second attempt.
Requires further analysis.
Raise a defect for the MR component.
Karunakar: Raised a defect ",Online,No retry,CSFE-85982,,,,,ccprodeuc1,"8c4e5c14b6c111ef97f6cef450d418a5
Arcelormittal South Africa"
10/1/2025,10/1/2025,10/2/2025,Ambika,,FWE-102,P72175-B21+CZUD310115,,2025.07.00.00,iLO7 1.17.00,,,,,,"b4175c91-2fc5-4637-9048-bd934977e2fe
Same as 2910",Online,No,CSFE-78155,,,,,ccprodeuc1,"fb12f9c724f11ee9193f6a2bfcb2643
Noorderhart"
10/1/2025,10/1/2025,10/2/2025,Ambika,,FWE-102,P72175-B21+CZUD310116,,2025.07.00.00,iLO7 1.17.00,,,,,,"0a64bd02-5412-4dab-92b2-3cf53c7b0aa9

This is a known issue CSFE-78155 

Informed customer to wait for iLO 1.18.0 release which contains the fix: Case id: 5392600586",Online,No,CSFE-78155,,,,,ccprodeuc1,"fb12f9c724f11ee9193f6a2bfcb2643
Noorderhart"
10/1/2025,10/1/2025,10/2/2025,Ambika,,FWE-102,P72175-B21+CZUD310117,,2025.07.00.00,iLO7 1.17.00,,,,,,"76c892cc-2af1-4ee9-8548-866dcbd25afb
Same as 2910",Online,No,CSFE-78155,,,,,ccprodeuc1,"fb12f9c724f11ee9193f6a2bfcb2643
Noorderhart"
10/1/2025,10/1/2025,10/2/2025,Ambika,,FWE-102,P72175-B21+CZUD310118,,2025.07.00.00,iLO7 1.17.00,,,,,,"d1dbab92-57ba-4b81-804e-9a53bea98fe7
Same as 2910",Online,No,CSFE-78155,,,,,ccprodeuc1,"fb12f9c724f11ee9193f6a2bfcb2643
Noorderhart"
10/1/2025,10/1/2025,10/2/2025,Ambika,,FWE-102,P72175-B21+CZUD310128,,2025.07.00.00,iLO7 1.17.00,,,,,,"ecc62b52-4882-4c72-a1fa-2267b573127e
Same as 2910",Online,No,CSFE-78155,,,,,ccprodeuc1,"fb12f9c724f11ee9193f6a2bfcb2643
Noorderhart"
10/1/2025,10/1/2025,10/2/2025,Ambika,,FWE-102,P72175-B21+CZUD310129,,2025.07.00.00,iLO7 1.17.00,,,,,,"7087879c-0c60-4cb6-9f3e-e007812b72f9
Same as 2910",Online,No,CSFE-78155,,,,,ccprodeuc1,"fb12f9c724f11ee9193f6a2bfcb2643
Noorderhart"
10/1/2025,10/1/2025,10/2/2025,Ambika,,FWE-102,P72175-B21+CZUD31012B,,2025.07.00.00,iLO7 1.17.00,,,,,,"ba103a59-5a47-45aa-8d6b-82d530391d40
Same as 2910",Online,No,CSFE-78155,,,,,ccprodeuc1,"fb12f9c724f11ee9193f6a2bfcb2643
Noorderhart"
10/1/2025,10/1/2025,10/2/2025,Ambika,,FWE-102,P72175-B21+CZUD31012C,,2025.07.00.00,iLO7 1.17.00,,,,,,"15d743fa-ff25-438e-b3ee-a418d489df6b
Same as 2910",Online,No,CSFE-78155,,,,,ccprodeuc1,"fb12f9c724f11ee9193f6a2bfcb2643
Noorderhart"
10/1/2025,10/1/2025,10/2/2025,Ambika,,FWE-102,P72175-B21+CZUD31012D,,2025.07.00.00,iLO7 1.17.00,,,,,,"f731292c-4522-47aa-bea1-3956ca95c359
Same as 2910",Online,No,CSFE-78155,,,,,ccprodeuc1,"fb12f9c724f11ee9193f6a2bfcb2643
Noorderhart"
10/1/2025,10/1/2025,10/2/2025,Ambika,,FWE-102,P72175-B21+CZUD31012F,,2025.07.00.00,iLO7 1.17.00,,,,,,"42f5959c-592e-42da-a55d-d0d4deef6a37
Same as 2910",Online,No,CSFE-78155,,,,,ccprodeuc1,"fb12f9c724f11ee9193f6a2bfcb2643
Noorderhart"
10/1/2025,10/1/2025,10/2/2025,Ambika,,FWE-102,P73283-B21+SGHD30HZ3K,,2025.07.00.00,iLO7 1.17.00,"HPE ProLiant Compute DL380 Gen12,",,No,"BMC, UEFI",,"a304dfe5-c1f9-43b0-9184-e69382662bc8

This is a known issue with Gen12 server where while installing the UEFI component repository mount is not available. Fixed as part of CSFE-78155 and the fix is available in iLO 1.18.00

Installset sequence contains latest BIOS vresion U68 1.46 (Olive team had patched this in july spp)

Sent a support request to inform customer about the new ilo 7 version coming up and install them before triggering the update

Case id: 5392595103/5392600325",Online,No retry,CSFE-78155,,,,,ccprodane1,"14e6b9585dee11f0b19bd21947a2534c

The University of Queensland - ITS"
10/1/2025,10/1/2025,10/2/2025,Ambika,,FWE-102,P73283-B21+SGHD30HZ49,,2025.07.00.00,iLO7 1.17.00,HPE ProLiant Compute DL380 Gen12,,NO,"BMC, UEFI",,"707f8d53-e889-42d4-8b46-41ee30c0868f
Same as # 2899",Online,No retry,CSFE-78155,,,,,ccprodane1,"14e6b9585dee11f0b19bd21947a2534c
The University of Queensland - ITS"
10/2/2025,10/2/2025,10/3/2025,Karunakar,,FWE-171,P19720-B21+2M22520151,,2025.07.00.00 Gen 11,,,,No,,,"2544e038-d81b-4666-b23d-6ec4547d503f
Error:: JobErrorException : Timeout reached or user cancelled the job request 
2025-10-01 23:03:31

FirmwareUpdateRevertPostMode step number: 27

wait_for_power_off_or_reboot': True, 'wait_for_power_off_or_reboot_timeout': 2

Moving to next job step. Reason : Timeout reached

Customer retry succeeded",,Yes,,,,,,ccprodusw2,7a202d98731b11ec87f5368a07a1140a
10/2/2025,10/1/2025,10/2/2025,Naresh,,PFWE-000,P19766-B21+MXQ026001C,,,,,,,,,"44b464c6-cb2b-4c65-99a2-46a3a7c4aa03

Same as 2938#",,,,,,,,ccprodusw2,834a7e92f9e511efb1018ad478755d16
10/2/2025,10/1/2025,10/2/2025,Sunil,,PFWE-000,P19766-B21+MXQ2120NJL,,,iLO 5 v3.15,ProLiant DL360 Gen10,,NA,,,"75321680-711b-43af-a0dd-7d9a0cb2d1f5

Unable to update firmware because server device discovery has not completed. Wait 15 minutes and then retry the firmware update

{'DeviceDiscovery': 'vMainDeviceDiscoveryComplete', 'AMSDeviceDiscovery': 'Complete', 'SmartArrayDiscovery': 'PendingSoftwareRAID', 'ServerFirmwareInventoryComplete': False}

'PowerState': 'On'
'PostState': 'FinishedPost'

'autoReboot': True",,,,,,,,ccprodusw2,834a7e92f9e511efb1018ad478755d16
10/2/2025,10/1/2025,10/2/2025,Sunil,,PFWE-000,P19766-B21+MXQ2120NJL,,,iLO 5 v3.15,ProLiant DL360 Gen10,,NA,,,"ea704eaa-7070-4e4a-93f4-270df29bef07

Unable to update firmware because server device discovery has not completed. Wait 15 minutes and then retry the firmware update

{'DeviceDiscovery': 'vMainDeviceDiscoveryComplete', 'AMSDeviceDiscovery': 'Complete', 'SmartArrayDiscovery': 'PendingSoftwareRAID', 'ServerFirmwareInventoryComplete': False}

'PowerState': 'On'
'PostState': 'FinishedPost'

'autoReboot': True",,,,,,,,ccprodusw2,834a7e92f9e511efb1018ad478755d16
10/2/2025,10/2/2025,10/3/2025,Karunakar,,FWE-171,P52534-B21+CZ240507NN,,2025.07.00.00 Gen 11,,,,No,,,"91d74034-68d4-4811-ae30-08b107b7bf58
 Error:: JobErrorException : Timeout reached or user cancelled the job request 
2025-10-01 23:10:10

FirmwareUpdateRevertPostMode step number: 27

'wait_for_power_off_or_reboot': True, 'wait_for_power_off_or_reboot_timeout': 4

Moving to next job step. Reason : Timeout reached

Customer retry succeeded",,Yes,,,,,,ccprodeuc1,961fb03cbe8111ee9ba58ef9f166691
10/2/2025,10/1/2025,10/2/2025,,,FWI-109,P52534-B21+CZ24290BNG,,,,,,,,,f4f578cd-701e-4a78-b307-65bc366d1f2f,,,,,,,,ccprodeuc1,201383c85bf611f0a3fbca4e7da041ca
10/2/2025,10/2/2025,10/3/2025,Karunakar,,FWE-102,P52534-B21+CZ2D1X06TJ,,SPP 2025.07.00.00 (08 Aug 2025),iLO 6 v1.70,ProLiant DL380 Gen11,6.2.0.0,No,BMC,"FW for Server Platform Services (SPS) Firmware for HPE ProLiant

'Version': '6.1.4.75.0' to '06.01.04.089'

","eed7dde9-8c88-41bd-a214-9365d5c55bae
Firmware update failed for 1/1 components
2025-10-02 07:45:56
Microsoft Windows Server 2022 Standard

As per bundle report, component went in to exception in both the attempts

10/02/2025 08:45:13,40713: Firmware update failed   with reason: Update Failed due to an internal error

3/10: Is it same as the existing SPS issue CSFE-81357?

10/02/2025 08:45:13,src/pmci_fwupdt.c(4511)  [Lacking PCIE_DEVICE_ID], descriptors read bitmap [0x00020001]

Karunakar >>> Yes, Looks like same issue , mapped the defect",Online,No retry,CSFE-81357,,,,,ccprodeuc1,916c610cf9db11efbbe2563010142a89
10/2/2025,10/1/2025,10/2/2025,Sunil,,PFWE-000,P52534-B21+CZ2D2R08CH,,,iLO 6 v1.67,ProLiant DL380 Gen11,,COM4VC-V1.4.0,,,"5df253ca-333d-4b8a-b664-5f2b1ae706a8
Unable to update firmware because server device discovery has not completed

{'DeviceDiscovery': 'vMainDeviceDiscoveryComplete', 'AMSDeviceDiscovery': 'NoAMS', 'ServerFirmwareInventoryComplete': True}

PostState': 'FinishedPost'
'PowerState': 'On'
COM4VC use case ( 'autoReboot': False)",,,,,,,,ccprodeuc1,44cb267ccff611ee916e1a48fb4659b4
10/2/2025,10/1/2025,10/2/2025,Sunil,,PFWE-000,P52534-B21+CZ2D2R08CJ,,,iLO 6 1.69 Jun 17 2025,ProLiant DL380 Gen11,,COM4VC-V1.4.0,,,"1f41944a-f62e-401b-8f38-3f53ef1e92d9 

Unable to update firmware because server device discovery has not completed. Wait 15 minutes and then retry the firmware update.

{'DeviceDiscovery': 'vMainDeviceDiscoveryComplete', 'AMSDeviceDiscovery': 'NoAMS', 'ServerFirmwareInventoryComplete': True}

'PostState': 'FinishedPost'

PowerState': 'On'

'autoReboot': False",,,,,,,,ccprodeuc1,44cb267ccff611ee916e1a48fb4659b4
10/2/2025,10/1/2025,10/2/2025,Sunil,,PFWE-000,P52534-B21+CZ2D2Z0F6T,,,iLO 6 v1.67,ProLiant DL380 Gen11,,NA,,,"e0d0d524-2a3b-4043-b3b6-ead561eca9b7 

The server cannot be updated in its current power or POST state using the 'Power off after firmware update' option

CANNOT_UPDATE_WITH_CURRENT_POWER_STATE
'postState': 'InPostDiscoveryComplete'

autoReboot: True

PowerState': 'On'",,,,,,,,ccprodeuc1,76aa8dea9e9911f08e6d06e6c883098d
10/2/2025,10/1/2025,10/2/2025,Sunil,,PFWE-000,P52766-B21+CZUD2Z026Z,,,iLO 6 v1.67,ProLiant DL320 Gen11,,NA,,,"d1fa9e0a-5e74-46ac-be11-b240d0beee66 

The server cannot be updated in its current power or POST state using the 'Power off after firmware update' option.

CANNOT_UPDATE_WITH_CURRENT_POWER_STATE

postState': 'InPostDiscoveryComplete
'PowerState': 'On'
'autoReboot': True",,,,,,,,ccprodeuc1,76aa8dea9e9911f08e6d06e6c883098d
10/2/2025,10/1/2025,10/2/2025,Sunil,,PFWE-000,P52766-B21+CZUD2Z0270,,,iLO 6 v1.67,ProLiant DL320 Gen11,,NA,,,"f8597a2e-3d5f-40ad-9960-276bbdd18731 

The server cannot be updated in its current power or POST state using the 'Power off after firmware update' option

CANNOT_UPDATE_WITH_CURRENT_POWER_STATE

'PowerState': 'On'
'autoReboot': True",,,,,,,,ccprodeuc1,76aa8dea9e9911f08e6d06e6c883098d
10/2/2025,10/1/2025,10/2/2025,Naresh,,PFWE-000,P65392-B21+CZ2D3100VV,,,,,,,,,"6f1bfaa3-6918-4bb6-819b-932986523d33
same as 2939.",,,,,,,,ccprodeuc1,76aa8dea9e9911f08e6d06e6c883098d
10/3/2025,10/3/2025,10/4/2025,Divya,,FWE-102,867959-B21+MXQ1310RH5,,2025.07.00.00 Gen 10,iLO5 3.15v,ProLiant DL360 Gen10,3.0.0,No,"BMC, UEFI, SUT","cp067430.exe
From 3.0.0v to 6.2.0v

cp066437.exe
From 2.51.2v to 2.60.3v

cp066650.exe
From 20.22.41v to 20.33.41v

cp065146.exe
From 5.32v to 5.61v

SPSGen10_04.01.05.105.fwpkg
From 4.1.4.804v to 04.01.05.105v

HPE_SR_Gen10_7.43_A.fwpkg
From 5.31v to 7.43v","c44c7ea4-201b-436f-8193-eac3bba7132c

2025-10-03 02:39:49.342

Same as ROW#2898
AHS : 
",,,,,,,,ccprodusw2,"13f2744608aa11ef8f934252ab53af36
Bank of Montreal QA"
10/3/2025,10/2/2025,10/3/2025,Ambika,,PFWE-000,P19766-B21+MXQ026001C,,,,,,,,,"44b464c6-cb2b-4c65-99a2-46a3a7c4aa03

Unable to update firmware because server device discovery has not completed. Wait 15 minutes and then retry the firmware update.

{'DeviceDiscovery': 'vMainDeviceDiscoveryComplete', 'AMSDeviceDiscovery': 'Complete', 'SmartArrayDiscovery': 'PendingSoftwareRAID', 'ServerFirmwareInventoryComplete': False}",,,,,,,,ccprodusw2,834a7e92f9e511efb1018ad478755d16
10/3/2025,10/2/2025,10/3/2025,Ambika,,PFWE-000,P19766-B21+MXQ2120NJL,,,,,,,,,"13674aeb-0445-4bba-a63d-6a15a81607f0

{'DeviceDiscovery': 'vMainDeviceDiscoveryComplete', 'AMSDeviceDiscovery': 'Complete', 'SmartArrayDiscovery': 'PendingSoftwareRAID', 'ServerFirmwareInventoryComplete': False},",,,,,,,,ccprodusw2,834a7e92f9e511efb1018ad478755d16
